,carat,cut,color,clarity,depth,table,x,y,z,color_n,price_predicted
0,0.91,3-Very Good,3-H,2-SI2,63.4,57.0,6.1,6.18,3.89,2,4506.192673412539
1,0.38,2-Good,5-F,4-VS2,60.3,61.0,4.68,4.71,2.83,4,3693.570192635153
2,0.52,5-Ideal,3-H,4-VS2,61.8,56.0,5.19,5.16,3.2,2,4506.192673412539
3,1.1,5-Ideal,4-G,5-VS1,61.3,56.0,6.65,6.69,4.09,3,4099.881433023846
4,2.28,5-Ideal,4-G,2-SI2,61.6,57.0,8.44,8.37,5.18,3,4099.881433023846
5,2.01,3-Very Good,1-J,4-VS2,60.8,58.0,8.08,8.16,4.94,0,5318.815154189925
6,1.06,5-Ideal,4-G,2-SI2,62.2,57.0,6.51,6.49,4.04,3,4099.881433023846
7,0.7,4-Premium,6-E,3-SI1,60.1,58.0,5.81,5.83,3.5,5,3287.25895224646
8,0.73,4-Premium,2-I,4-VS2,59.7,59.0,5.94,5.81,3.51,1,4912.503913801233
9,0.73,5-Ideal,3-H,8-IF,61.6,55.0,5.8,5.82,3.58,2,4506.192673412539
10,1.0,2-Good,7-D,4-VS2,64.1,58.0,6.24,6.33,4.03,6,2880.947711857767
11,0.33,5-Ideal,4-G,6-VVS2,60.1,57.0,4.48,4.51,2.7,3,4099.881433023846
12,0.54,5-Ideal,1-J,6-VVS2,61.6,57.0,5.25,5.23,3.23,0,5318.815154189925
13,0.33,5-Ideal,7-D,4-VS2,61.9,53.0,4.49,4.46,2.77,6,2880.947711857767
14,0.51,1-Fair,7-D,4-VS2,64.4,54.0,5.06,5.03,3.25,6,2880.947711857767
15,0.51,5-Ideal,6-E,3-SI1,62.4,55.0,5.09,5.14,3.19,5,3287.25895224646
16,0.3,2-Good,2-I,3-SI1,63.2,55.0,4.25,4.29,2.7,1,4912.503913801233
17,2.66,2-Good,3-H,2-SI2,64.3,60.0,8.71,8.65,5.58,2,4506.192673412539
18,0.92,4-Premium,5-F,3-SI1,61.8,59.0,6.21,6.25,3.85,4,3693.570192635153
19,0.3,5-Ideal,4-G,8-IF,62.2,55.0,4.3,4.32,2.68,3,4099.881433023846
20,1.0,3-Very Good,3-H,3-SI1,62.0,54.0,6.43,6.47,4.0,2,4506.192673412539
21,0.34,3-Very Good,5-F,5-VS1,61.1,57.0,4.51,4.54,2.76,4,3693.570192635153
22,1.01,3-Very Good,5-F,2-SI2,62.4,58.0,6.37,6.41,3.99,4,3693.570192635153
23,0.87,5-Ideal,5-F,5-VS1,62.0,55.0,6.1,6.13,3.79,4,3693.570192635153
24,1.26,4-Premium,7-D,2-SI2,61.9,58.0,6.88,6.81,4.24,6,2880.947711857767
25,0.38,4-Premium,6-E,5-VS1,60.2,58.0,4.66,4.71,2.82,5,3287.25895224646
26,0.55,5-Ideal,5-F,6-VVS2,62.3,54.0,5.29,5.27,3.29,4,3693.570192635153
27,0.65,4-Premium,4-G,3-SI1,61.9,58.0,5.54,5.51,3.42,3,4099.881433023846
28,0.41,4-Premium,7-D,6-VVS2,62.2,58.0,4.8,4.78,2.98,6,2880.947711857767
29,0.7,3-Very Good,2-I,1-I1,63.2,59.0,5.62,5.59,3.54,1,4912.503913801233
30,1.03,3-Very Good,2-I,5-VS1,62.9,53.0,6.45,6.5,4.07,1,4912.503913801233
31,0.34,5-Ideal,5-F,6-VVS2,61.3,56.0,4.52,4.56,2.78,4,3693.570192635153
32,0.73,5-Ideal,2-I,7-VVS1,61.7,53.0,5.8,5.84,3.59,1,4912.503913801233
