,carat,cut,color,clarity,depth,table,x,y,z,color_n,price_predicted,cut_n,clarity_n
0,0.91,3-Very Good,3-H,2-SI2,63.4,57.0,6.1,6.18,3.89,2,3278.291419211381,2,1
1,0.38,2-Good,5-F,4-VS2,60.3,61.0,4.68,4.71,2.83,4,511.37912374470443,1,3
2,0.52,5-Ideal,3-H,4-VS2,61.8,56.0,5.19,5.16,3.2,2,1022.6114682111015,4,3
3,1.1,5-Ideal,4-G,5-VS1,61.3,56.0,6.65,6.69,4.09,3,6982.29781162045,4,4
4,2.28,5-Ideal,4-G,2-SI2,61.6,57.0,8.44,8.37,5.18,3,15686.761786963236,4,1
5,2.01,3-Very Good,1-J,4-VS2,60.8,58.0,8.08,8.16,4.94,0,13486.669487045876,2,3
6,1.06,5-Ideal,4-G,2-SI2,62.2,57.0,6.51,6.49,4.04,3,4972.798193215283,4,1
7,0.7,4-Premium,6-E,3-SI1,60.1,58.0,5.81,5.83,3.5,5,3104.239429620326,3,2
8,0.73,4-Premium,2-I,4-VS2,59.7,59.0,5.94,5.81,3.51,1,2654.946320800746,3,3
9,0.73,5-Ideal,3-H,8-IF,61.6,55.0,5.8,5.82,3.58,2,5020.756936943722,4,7
10,1.0,2-Good,7-D,4-VS2,64.1,58.0,6.24,6.33,4.03,6,6374.022236157685,1,3
11,0.33,5-Ideal,4-G,6-VVS2,60.1,57.0,4.48,4.51,2.7,3,840.9938986704356,4,5
12,0.54,5-Ideal,1-J,6-VVS2,61.6,57.0,5.25,5.23,3.23,0,1647.551055270596,4,5
13,0.33,5-Ideal,7-D,4-VS2,61.9,53.0,4.49,4.46,2.77,6,624.0486371137436,4,3
14,0.51,1-Fair,7-D,4-VS2,64.4,54.0,5.06,5.03,3.25,6,2067.748309627397,0,3
15,0.51,5-Ideal,6-E,3-SI1,62.4,55.0,5.09,5.14,3.19,5,1318.8454725477573,4,2
16,0.3,2-Good,2-I,3-SI1,63.2,55.0,4.25,4.29,2.7,1,-1832.601632047857,1,2
17,2.66,2-Good,3-H,2-SI2,64.3,60.0,8.71,8.65,5.58,2,18553.464160509502,1,1
18,0.92,4-Premium,5-F,3-SI1,61.8,59.0,6.21,6.25,3.85,4,4622.942829242424,3,2
19,0.3,5-Ideal,4-G,8-IF,62.2,55.0,4.3,4.32,2.68,3,1541.5416018584428,4,7
20,1.0,3-Very Good,3-H,3-SI1,62.0,54.0,6.43,6.47,4.0,2,4677.649547697953,2,2
21,0.34,3-Very Good,5-F,5-VS1,61.1,57.0,4.51,4.54,2.76,4,655.9917156506276,2,4
22,1.01,3-Very Good,5-F,2-SI2,62.4,58.0,6.37,6.41,3.99,4,4842.002388831985,2,1
23,0.87,5-Ideal,5-F,5-VS1,62.0,55.0,6.1,6.13,3.79,4,5248.967775121242,4,4
24,1.26,4-Premium,7-D,2-SI2,61.9,58.0,6.88,6.81,4.24,6,7692.625769781824,3,1
25,0.38,4-Premium,6-E,5-VS1,60.2,58.0,4.66,4.71,2.82,5,1371.4661525459223,3,4
26,0.55,5-Ideal,5-F,6-VVS2,62.3,54.0,5.29,5.27,3.29,4,2968.4010961589343,4,5
27,0.65,4-Premium,4-G,3-SI1,61.9,58.0,5.54,5.51,3.42,3,1935.967523415659,3,2
28,0.41,4-Premium,7-D,6-VVS2,62.2,58.0,4.8,4.78,2.98,6,2383.0459572114846,3,5
29,0.7,3-Very Good,2-I,1-I1,63.2,59.0,5.62,5.59,3.54,1,595.3490732689306,2,0
30,1.03,3-Very Good,2-I,5-VS1,62.9,53.0,6.45,6.5,4.07,1,5649.496897665316,2,4
31,0.34,5-Ideal,5-F,6-VVS2,61.3,56.0,4.52,4.56,2.78,4,1182.607176258231,4,5
32,0.73,5-Ideal,2-I,7-VVS1,61.7,53.0,5.8,5.84,3.59,1,4160.669908142503,4,6
33,0.83,5-Ideal,7-D,2-SI2,62.1,56.0,6.0,6.04,3.74,6,3917.000263743456,4,1
