,carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0,0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,4717.72490120996
1,0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,920.7926940497691
2,0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,1584.4235565630515
3,1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,6168.019110121459
4,2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,16120.716650059127
5,2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,14133.35703527469
6,1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,5706.78435295614
7,0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,3005.802917569621
8,0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,2891.657081384798
9,0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,3208.038989146104
10,1.0,Good,D,VS2,64.1,58.0,6.24,6.33,4.03,5444.9667015091745
11,0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,631.1352190562152
12,0.54,Ideal,J,VVS2,61.6,57.0,5.25,5.23,3.23,1760.223725492592
13,0.33,Ideal,D,VS2,61.9,53.0,4.49,4.46,2.77,382.2507673626674
14,0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,1444.6455741861214
15,0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,1720.7436892526953
16,0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,402.7721609094833
17,2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,19447.116704321048
18,0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,4747.8684642806475
19,0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,367.59200697731285
20,1.0,Very Good,H,SI1,62.0,54.0,6.43,6.47,4.0,5314.218666772137
21,0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,645.1965910034858
22,1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,5445.110744960206
23,0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,4316.175100653161
24,1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,7277.923454061485
25,0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,989.6054230227755
26,0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,1771.8879288265955
27,0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,2538.859576102164
28,0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,870.583472966711
29,0.7,Very Good,I,I1,63.2,59.0,5.62,5.59,3.54,2870.8911014150526
30,1.03,Very Good,I,VS1,62.9,53.0,6.45,6.5,4.07,5548.076441862184
31,0.34,Ideal,F,VVS2,61.3,56.0,4.52,4.56,2.78,640.7885508629504
32,0.73,Ideal,I,VVS1,61.7,53.0,5.8,5.84,3.59,3244.8413269721764
33,0.83,Ideal,D,SI2,62.1,56.0,6.0,6.04,3.74,4021.787945786774
34,0.51,Very Good,G,SI1,63.0,53.0,5.1,5.13,3.22,1627.1120749725346
35,1.06,Ideal,E,VS2,61.3,57.0,6.54,6.57,4.02,5852.834813002468
36,0.41,Ideal,D,VS1,61.8,57.0,4.75,4.8,2.95,1099.8296736656125
37,1.03,Ideal,F,VS2,60.4,56.0,6.59,6.56,3.97,5448.95489173348
38,0.32,Ideal,D,SI1,61.3,55.0,4.41,4.46,2.72,568.208670666616
39,0.3,Premium,J,VS1,62.6,58.0,4.32,4.27,2.69,172.7533660386025
40,0.32,Very Good,D,VVS2,60.1,58.0,4.41,4.44,2.66,599.4464676415791
41,0.33,Ideal,G,VS1,61.7,56.0,4.44,4.47,2.75,572.683758708225
42,0.25,Ideal,G,VS1,62.7,54.0,4.05,4.08,2.55,115.12555744320844
43,0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,277.2071510323385
44,1.26,Very Good,F,IF,60.0,60.0,7.04,7.09,4.24,7542.030944966987
45,1.14,Ideal,J,VS1,61.6,56.0,6.71,6.73,4.14,6446.789757047744
46,1.51,Premium,H,SI1,62.8,60.0,7.22,7.14,4.51,9376.323799599191
47,0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17,1722.7545607799698
48,0.32,Ideal,G,IF,61.0,57.0,4.44,4.48,2.72,535.8119824336945
49,0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,4752.487595773284
50,0.51,Premium,E,VS2,60.6,58.0,5.15,5.12,3.11,1613.5834341096665
51,1.12,Ideal,H,SI2,61.4,56.0,6.69,6.66,4.1,6174.188211052811
52,1.33,Premium,G,SI2,60.3,58.0,7.19,7.16,4.33,7902.266990819138
53,0.32,Premium,H,VS2,61.7,59.0,4.35,4.4,2.7,609.807736266599
54,0.7,Ideal,E,VS2,62.6,57.0,5.63,5.68,3.54,3070.13539194691
55,1.35,Ideal,H,VVS1,61.9,57.0,7.06,7.09,4.38,8222.423221445919
56,0.23,Good,F,VS2,63.8,57.0,3.93,3.84,2.48,-269.11649829047474
57,0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,4544.465944344709
58,1.03,Ideal,D,SI1,61.3,56.0,6.48,6.54,3.99,5674.954334097198
59,1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,5362.375520936845
60,0.55,Ideal,H,VVS2,61.7,57.0,5.28,5.26,3.25,1828.7172052806848
61,0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,631.9772516766513
62,0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,2789.4591975600233
63,0.55,Good,G,SI1,63.6,61.0,5.22,5.16,3.3,1674.2393525866603
64,0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23,1888.6468060715495
65,1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,7287.687719707754
66,0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,278.1672891344665
67,0.53,Ideal,D,VS2,61.4,56.0,5.18,5.21,3.19,1854.5608860436516
68,1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,7408.283186624493
69,0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,448.7357661708754
70,0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,732.9320770513568
71,0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,454.7635996579281
72,1.12,Good,E,SI1,64.3,57.0,6.56,6.5,4.2,5993.65558624372
73,0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,454.42080305106265
74,0.36,Ideal,D,SI1,62.0,56.0,4.61,4.55,2.84,491.31612674754433
75,0.71,Ideal,F,VVS1,61.1,54.0,5.78,5.84,3.55,3148.676057729219
76,0.32,Premium,G,VS2,62.6,60.0,4.33,4.36,2.72,536.9756547864272
77,0.5,Premium,E,VS2,61.3,60.0,5.11,5.07,3.12,1481.4578596610709
78,0.51,Very Good,E,SI1,63.3,59.0,5.09,5.05,3.21,1466.6809937940238
79,0.58,Ideal,J,VS1,61.9,58.0,5.31,5.35,3.3,2213.419777643583
80,0.3,Ideal,F,IF,62.5,54.0,4.31,4.33,2.7,337.9787844436396
81,0.39,Ideal,G,VVS1,62.3,57.0,4.7,4.64,2.91,683.1885391516239
82,0.31,Ideal,F,VS2,61.8,56.0,4.37,4.33,2.69,288.873744913732
83,0.9,Very Good,H,VS1,60.5,63.0,6.13,6.16,3.72,4712.9429021797005
84,0.81,Premium,G,SI2,61.7,57.0,5.99,5.94,3.68,3673.1845555264354
85,0.7,Premium,E,SI2,61.1,61.0,5.74,5.69,3.49,2859.7548480706755
86,0.38,Very Good,J,VS2,60.5,60.0,4.64,4.68,2.82,969.1945778561585
87,0.71,Very Good,G,SI1,60.0,59.0,5.76,5.8,3.47,3211.924245851117
88,0.71,Very Good,D,VS2,63.1,58.0,5.67,5.7,3.59,3044.9972574548447
89,0.9,Very Good,H,VS1,62.1,59.0,6.09,6.14,3.8,4664.077725737371
90,0.74,Very Good,F,SI2,63.2,58.0,5.75,5.71,3.62,3117.2626695610334
91,1.5,Premium,H,VS2,62.4,59.0,7.32,7.29,4.56,9307.436851082952
92,1.5,Very Good,F,SI1,63.0,55.0,7.27,7.31,4.59,9455.034890020615
93,0.42,Ideal,F,VS1,61.0,57.0,4.87,4.84,2.96,958.715203749449
94,1.01,Premium,G,VS2,61.6,58.0,6.45,6.4,3.96,5239.910835396478
95,2.48,Premium,I,SI2,63.0,62.0,8.62,8.58,5.42,17884.61130612073
96,1.02,Ideal,F,VVS2,61.1,56.3,6.48,6.52,3.97,5548.858983683038
97,0.4,Ideal,D,VS2,61.3,57.0,4.77,4.75,2.92,856.5221010194434
98,0.7,Ideal,F,SI1,61.3,57.0,5.76,5.79,3.54,2988.5618351882376
99,1.01,Good,E,VS2,62.5,58.0,6.32,6.36,3.96,5497.920668907131
100,1.13,Very Good,I,VS2,60.7,58.0,6.72,6.75,4.09,6434.736866080368
101,1.09,Ideal,I,VS2,61.9,56.0,6.62,6.67,4.09,6097.514758806088
102,0.7,Very Good,E,VS2,62.7,58.0,5.65,5.67,3.55,2976.1174805807614
103,1.0,Premium,F,SI1,60.8,59.0,6.44,6.38,3.9,5195.8499438295485
104,1.52,Ideal,H,VS2,61.8,54.0,7.42,7.43,4.59,9549.263892738867
105,0.41,Ideal,G,VVS2,62.2,56.0,4.75,4.8,2.97,1072.6136197451983
106,0.43,Very Good,J,VS2,60.9,59.0,4.86,4.9,2.97,1226.8416617027729
107,0.31,Very Good,E,SI2,60.8,61.0,4.39,4.43,2.68,499.328893792534
108,0.33,Ideal,G,VS2,62.2,56.0,4.47,4.44,2.77,387.04510458919185
109,0.7,Premium,E,VS2,61.0,59.0,5.74,5.7,3.49,2884.960030463815
110,0.33,Ideal,G,VVS2,62.5,54.0,4.41,4.45,2.77,577.864393020735
111,1.16,Premium,H,SI2,62.6,57.0,6.75,6.67,4.2,6309.303175998644
112,0.51,Ideal,E,VS2,61.8,57.0,5.15,5.14,3.18,1568.7376101744962
113,1.13,Good,G,I1,63.4,58.0,6.58,6.61,4.18,6345.824984024157
114,0.52,Premium,E,VS2,62.5,60.0,5.1,5.14,3.2,1782.43435083438
115,0.23,Very Good,F,VVS2,61.4,56.0,3.94,3.97,2.43,98.98865661497712
116,0.5,Fair,F,SI1,64.7,60.0,4.99,4.84,3.18,1151.318714934424
117,1.08,Very Good,D,VS1,60.5,58.0,6.53,6.63,3.98,6291.902445305118
118,0.3,Premium,G,VS1,62.2,59.0,4.31,4.28,2.67,252.7769533585615
119,0.48,Ideal,J,VS1,62.2,54.0,5.01,5.06,3.13,1512.8660812751477
120,1.51,Ideal,J,VS1,61.6,58.0,7.35,7.43,4.55,9694.011418076207
121,1.03,Premium,F,SI2,62.4,59.0,6.45,6.38,4.0,5340.870441865956
122,0.31,Very Good,G,VVS2,63.4,59.0,4.29,4.26,2.71,306.0402222925454
123,0.4,Ideal,G,IF,62.3,55.0,4.74,4.76,2.96,910.1022285909556
124,1.03,Ideal,E,VS2,61.7,56.0,6.45,6.54,4.01,5730.545333195985
125,1.16,Premium,J,SI1,62.5,58.0,6.73,6.67,4.19,6378.1159049716525
126,1.04,Very Good,J,SI2,62.8,57.0,6.44,6.5,4.06,5692.187859377085
127,0.71,Premium,E,VS2,61.5,60.0,5.76,5.68,3.52,2841.4219223324053
128,0.29,Very Good,H,VVS2,61.2,56.0,4.26,4.29,2.61,394.7410129966536
129,1.09,Ideal,G,SI2,61.2,57.0,6.68,6.63,4.07,5858.295977115538
130,0.74,Ideal,F,VS1,62.3,56.0,5.76,5.79,3.6,3318.5178316201655
131,0.42,Ideal,D,VS2,62.4,55.0,4.82,4.8,3.0,941.4741213680646
132,0.54,Ideal,I,SI1,62.0,55.0,5.21,5.25,3.24,1907.4354673442656
133,0.51,Ideal,E,VS2,62.6,55.0,5.08,5.11,3.19,1672.7304930796777
134,1.01,Premium,F,SI2,58.8,61.0,6.53,6.46,3.82,5360.835499147006
135,1.0,Premium,H,VS2,59.4,61.0,6.51,6.46,3.85,5272.315080730897
136,1.02,Premium,H,VS2,61.0,60.0,6.5,6.46,3.95,5369.639241231813
137,0.73,Good,E,VS1,60.8,61.0,5.77,5.8,3.52,3322.083839140269
138,1.01,Premium,H,SI2,60.3,59.0,6.51,6.45,3.91,5268.362776124808
139,0.33,Good,D,SI1,63.1,55.0,4.38,4.4,2.77,534.64553407424
140,1.22,Ideal,F,VS1,62.3,57.0,6.79,6.83,4.24,7165.150819712205
141,0.31,Ideal,D,VS1,62.0,54.0,4.35,4.36,2.7,406.0859671457479
142,1.07,Premium,G,SI1,60.5,62.0,6.69,6.6,4.02,5617.316134634165
143,1.01,Very Good,E,VVS2,60.2,60.0,6.46,6.5,3.9,5546.008470082717
144,0.23,Very Good,F,IF,59.5,58.0,4.0,4.03,2.39,139.03775277623845
145,0.35,Very Good,D,VS1,60.9,58.0,4.54,4.56,2.77,702.0929153586455
146,0.55,Ideal,F,VVS2,60.7,56.0,5.31,5.34,3.23,1974.7676653270166
147,0.9,Ideal,G,SI1,61.9,59.0,6.16,6.19,3.82,4569.6711267378505
148,0.72,Ideal,G,VVS1,62.2,57.0,5.72,5.75,3.57,3163.1285078572464
149,0.83,Very Good,E,SI1,63.5,58.0,5.93,5.98,3.78,4009.341200631915
150,1.04,Ideal,H,SI1,61.9,57.0,6.49,6.46,4.01,5521.395509573557
151,0.71,Very Good,E,VS2,59.9,59.0,5.77,5.81,3.47,3209.527077237858
152,0.43,Ideal,F,SI1,61.3,56.0,4.9,4.86,2.99,988.3954741841967
153,0.33,Ideal,E,VS2,61.3,55.0,4.46,4.48,2.74,556.2922660487725
154,1.72,Fair,D,SI2,64.6,58.0,7.53,7.46,4.84,11039.073695808547
155,1.13,Ideal,G,SI1,61.8,55.0,6.71,6.75,4.16,6367.083028365316
156,0.52,Ideal,D,SI1,62.4,56.0,5.12,5.17,3.21,1789.23716904079
157,0.3,Very Good,G,VS1,62.5,55.0,4.25,4.32,2.68,505.6037620093175
158,1.53,Premium,G,VS1,61.0,60.0,7.43,7.4,4.52,9644.203222822789
159,2.02,Fair,H,SI2,56.5,61.0,8.33,8.37,4.72,14374.884723043451
160,0.33,Premium,H,VS1,61.0,59.0,4.5,4.45,2.73,383.8753418039573
161,0.7,Very Good,G,I1,61.5,63.0,5.73,5.65,3.5,2772.92844254431
162,1.26,Premium,I,SI1,60.5,62.0,6.97,6.92,4.2,7361.191409169246
163,0.3,Premium,D,VS2,62.5,59.0,4.28,4.23,2.66,223.16612137227003
164,0.59,Very Good,H,VS1,62.1,55.0,5.37,5.41,3.35,2233.897670711274
165,0.82,Ideal,E,SI1,62.1,55.0,5.98,6.0,3.72,3900.4869325991367
166,0.39,Very Good,G,VVS2,60.7,61.0,4.7,4.73,2.86,978.0753154909183
167,0.31,Ideal,H,IF,62.1,54.0,4.33,4.37,2.7,486.4958515516878
168,1.26,Ideal,I,SI2,62.0,56.0,7.0,6.94,4.32,7165.498397413839
169,1.51,Very Good,F,SI2,62.7,60.0,7.25,7.32,4.57,9665.561867895263
170,0.56,Ideal,G,VS1,60.6,56.0,5.33,5.36,3.24,2059.26634068858
171,0.31,Ideal,G,VVS1,62.5,55.0,4.34,4.33,2.71,344.46474401252135
172,0.56,Ideal,H,VVS2,60.9,57.0,5.38,5.33,3.26,1818.4229845567422
173,0.96,Premium,E,SI2,58.2,58.0,6.52,6.47,3.78,4953.569942645915
174,0.52,Very Good,E,SI1,62.7,57.0,5.1,5.14,3.21,1768.8263238741729
175,1.02,Very Good,H,SI1,63.5,55.0,6.31,6.35,4.02,5521.570715307442
176,1.06,Good,I,VS1,57.5,62.0,6.71,6.83,3.9,6202.225911637771
177,1.21,Ideal,H,SI1,62.1,59.0,6.81,6.75,4.21,6846.227699886615
178,2.02,Fair,H,VS2,64.5,57.0,8.0,7.95,5.14,13655.607513414121
179,1.52,Ideal,G,VS2,62.1,56.0,7.39,7.34,4.57,9432.440358140224
180,2.03,Very Good,I,SI2,62.8,59.0,8.04,8.08,5.06,14084.630735729283
181,0.28,Good,F,VVS2,61.2,62.0,4.16,4.21,2.56,434.26215916828437
182,0.7,Fair,G,VS1,65.8,61.0,5.61,5.46,3.64,2434.745811708567
183,0.7,Ideal,G,VVS1,62.3,57.0,5.61,5.65,3.51,3090.5486276609145
184,2.32,Fair,H,I1,70.5,55.0,7.93,7.9,5.58,16211.076058692892
185,0.58,Ideal,J,VS2,60.9,57.0,5.38,5.4,3.28,2173.445286484891
186,0.54,Ideal,D,VS1,61.6,54.0,5.24,5.25,3.23,1838.236441285271
187,1.2,Very Good,I,SI1,62.9,54.0,6.75,6.77,4.25,6904.919023322176
188,0.52,Very Good,F,VS2,62.4,57.0,5.12,5.13,3.2,1702.0244664284373
189,1.57,Premium,F,SI2,60.2,60.0,7.49,7.43,4.49,10006.63290303759
190,0.7,Premium,I,I1,62.3,58.0,5.69,5.55,3.51,2617.6779956783066
191,1.57,Very Good,H,SI1,62.0,60.0,7.4,7.44,4.6,10130.570947926066
192,1.02,Very Good,D,VS2,63.2,58.0,6.4,6.36,4.03,5284.7467116827665
193,1.5,Premium,F,VS2,62.4,57.0,7.38,7.29,4.58,9114.606691124134
194,0.7,Very Good,E,VS1,62.7,60.0,5.59,5.64,3.52,3106.940120320369
195,0.42,Premium,F,SI1,60.6,58.0,4.89,4.81,2.94,855.111008477641
196,2.01,Premium,H,SI1,60.0,60.0,8.16,8.13,4.89,13904.962814845105
197,0.31,Premium,G,VS1,62.2,58.0,4.38,4.34,2.71,259.26052238005695
198,0.44,Ideal,E,VVS2,61.9,56.0,4.91,4.88,3.03,1059.6724196715404
199,0.7,Ideal,D,VVS2,61.7,55.0,5.73,5.75,3.54,2970.5481586348797
200,1.2,Premium,J,SI1,60.0,61.0,6.89,6.84,4.12,6871.826736467233
201,1.05,Ideal,G,VS1,62.2,57.0,6.49,6.51,4.04,5709.498380206926
202,0.7,Ideal,F,I1,62.1,57.0,5.67,5.64,3.52,2886.1213122691606
203,0.53,Premium,F,SI1,60.9,59.0,5.21,5.23,3.18,1835.7722247709355
204,1.09,Premium,H,SI2,61.2,62.0,6.63,6.58,4.04,5911.105901062464
205,0.92,Premium,E,SI2,61.8,59.0,6.19,6.11,3.8,4518.240747590524
206,0.71,Premium,F,VS2,58.0,62.0,5.85,5.81,3.38,3111.180511828512
207,0.57,Good,F,SI2,61.9,57.7,5.32,5.34,3.3,2057.711204695748
208,0.71,Very Good,G,VS2,63.5,59.0,5.67,5.63,3.59,2868.560980702866
209,0.89,Premium,G,SI1,61.1,58.0,6.24,6.17,3.79,4236.364995232689
210,1.06,Ideal,G,SI1,62.9,56.0,6.52,6.49,4.09,5611.1418671487045
211,0.86,Premium,H,SI2,61.0,58.0,6.15,6.12,3.74,4118.097258480757
212,1.1,Premium,G,VS2,60.2,58.0,6.75,6.71,4.05,5996.838072684555
